timestamp(UTC+1),score,temp,humid,co2,voc,pm25,pm10
2024-10-14T13:55:00+01:00,86.8,19.0,59.8,688.6,320.4,5.3,6.3
2024-10-14T14:00:00+01:00,83.0,18.2,60.6,646.7,185.0,8.0,9.0
2024-10-14T14:05:00+01:00,82.2,17.8,61.4,629.4,123.0,4.0,5.0
2024-10-14T14:10:00+01:00,76.6,16.8,64.3,568.4,79.4,2.8,3.8
2024-10-14T14:15:00+01:00,73.6,17.0,65.5,551.2,57.8,13.0,14.2
2024-10-14T14:20:00+01:00,73.2,16.8,67.4,543.2,39.0,5.0,6.0
2024-10-14T14:25:00+01:00,67.6,16.5,71.8,552.0,26.8,7.8,8.8
2024-10-14T14:30:00+01:00,63.4,16.5,76.1,565.8,21.2,5.6,6.6
2024-10-14T14:35:00+01:00,60.2,16.6,78.7,580.6,20.0,5.8,6.8
2024-10-14T14:40:00+01:00,57.8,16.7,80.5,598.0,20.0,8.4,9.4
2024-10-14T14:45:00+01:00,58.0,16.8,81.7,614.0,20.0,6.8,7.8
2024-10-14T14:50:00+01:00,56.8,16.9,82.5,632.0,20.0,9.2,10.2
2024-10-14T14:55:00+01:00,57.4,16.8,81.3,648.2,20.0,8.0,9.0
2024-10-14T15:00:00+01:00,58.8,16.6,78.8,666.4,20.0,7.0,8.0
2024-10-14T15:05:00+01:00,61.0,16.5,76.3,687.2,20.0,7.8,8.8
2024-10-14T15:10:00+01:00,61.8,16.4,74.9,699.6,20.0,8.8,9.8
2024-10-14T15:15:00+01:00,62.8,16.3,73.8,711.4,20.0,8.0,9.0
2024-10-14T15:20:00+01:00,62.6,16.2,73.1,726.2,20.0,8.8,9.8
2024-10-14T15:25:00+01:00,61.0,16.4,75.1,741.2,20.0,9.8,10.8
2024-10-14T15:30:00+01:00,58.2,16.5,77.9,753.8,20.0,8.0,9.0
2024-10-14T15:35:00+01:00,58.4,16.4,76.9,768.4,20.0,9.6,10.6
2024-10-14T15:40:00+01:00,60.6,16.3,74.9,789.4,20.0,8.2,9.2
2024-10-14T15:45:00+01:00,61.0,16.2,73.8,803.0,20.0,9.6,10.6
2024-10-14T15:50:00+01:00,61.4,16.2,72.8,817.8,20.0,10.6,11.6
2024-10-14T15:55:00+01:00,60.6,16.2,73.1,833.4,20.0,12.6,13.8
2024-10-14T16:00:00+01:00,58.6,16.4,75.9,844.2,20.0,10.2,11.2
2024-10-14T16:05:00+01:00,57.2,16.5,77.3,852.4,20.2,10.0,11.0
2024-10-14T16:10:00+01:00,58.8,16.4,75.5,843.4,20.0,11.0,12.0
2024-10-14T16:15:00+01:00,58.4,16.3,75.0,819.6,20.0,14.2,15.2
2024-10-14T16:20:00+01:00,59.0,16.3,74.7,793.8,20.0,13.0,14.0
2024-10-14T16:25:00+01:00,60.0,16.2,74.4,769.4,20.0,11.4,12.4
2024-10-14T16:30:00+01:00,60.0,16.2,74.1,770.0,20.0,12.0,13.0
2024-10-14T16:35:00+01:00,58.6,16.3,75.7,781.2,20.0,12.6,13.6
2024-10-14T16:40:00+01:00,56.8,16.5,78.0,795.8,20.5,11.0,12.0
2024-10-14T16:45:00+01:00,56.4,16.4,78.0,806.8,20.0,10.4,11.4
2024-10-14T16:50:00+01:00,58.2,16.3,76.0,819.6,20.0,11.4,12.4
2024-10-14T16:55:00+01:00,58.8,16.2,74.8,835.8,20.0,10.6,11.6
2024-10-14T17:00:00+01:00,59.0,16.2,73.6,848.4,20.0,15.2,16.4
2024-10-14T17:05:00+01:00,59.0,16.3,74.5,870.0,20.0,10.2,11.2
2024-10-14T17:10:00+01:00,56.6,16.5,77.2,868.2,20.0,10.6,11.6
2024-10-14T17:15:00+01:00,56.2,16.4,77.0,875.8,20.2,11.2,12.2
2024-10-14T17:20:00+01:00,58.0,16.3,75.3,891.0,20.0,11.0,12.0
2024-10-14T17:25:00+01:00,57.8,16.2,74.0,905.8,20.0,14.4,15.4
2024-10-14T17:30:00+01:00,58.2,16.2,74.3,920.8,20.0,11.8,12.8
2024-10-14T17:35:00+01:00,54.8,16.4,77.3,932.0,20.6,12.6,13.6
2024-10-14T17:40:00+01:00,54.8,16.4,78.0,948.8,20.8,10.4,11.4
2024-10-14T17:45:00+01:00,55.0,16.3,75.8,964.4,20.0,17.4,18.6
2024-10-14T17:50:00+01:00,57.4,16.2,74.4,980.6,20.0,11.4,12.4
2024-10-14T17:55:00+01:00,57.4,16.2,74.0,993.4,20.0,11.0,12.0
2024-10-14T18:00:00+01:00,54.6,16.4,76.8,1002.2,20.0,11.6,12.6
2024-10-14T18:05:00+01:00,53.8,16.5,77.7,1006.6,21.4,11.2,12.2
2024-10-14T18:10:00+01:00,54.8,16.3,75.6,1027.0,20.2,15.8,17.0
2024-10-14T18:15:00+01:00,57.0,16.2,73.8,1038.8,20.2,12.0,13.0
2024-10-14T18:20:00+01:00,58.0,16.1,72.7,1047.2,20.0,11.6,12.6
2024-10-14T18:25:00+01:00,56.6,16.2,74.4,1062.8,20.0,11.4,12.4
2024-10-14T18:30:00+01:00,53.6,16.4,77.2,1072.8,21.6,12.0,13.0
2024-10-14T18:35:00+01:00,51.0,16.6,79.3,1084.6,23.2,15.0,16.0
2024-10-14T18:40:00+01:00,50.4,16.7,80.6,1096.2,24.0,12.6,13.6
2024-10-14T18:45:00+01:00,50.0,16.8,81.7,1110.5,27.2,14.0,15.0
2024-10-14T18:50:00+01:00,50.0,16.9,82.1,1123.2,30.0,13.6,14.6
2024-10-14T18:55:00+01:00,50.8,16.8,80.0,1138.0,28.6,15.0,16.2
2024-10-14T19:00:00+01:00,53.4,16.6,77.4,1150.0,25.8,12.4,13.4
2024-10-14T19:05:00+01:00,55.2,16.4,75.1,1160.2,21.8,12.0,13.0
2024-10-14T19:10:00+01:00,56.0,16.4,73.6,1171.6,21.0,15.2,16.2
2024-10-14T19:15:00+01:00,57.4,16.2,72.3,1180.2,20.4,12.6,13.6
2024-10-14T19:20:00+01:00,57.0,16.3,72.6,1190.8,20.4,13.2,14.2
2024-10-14T19:25:00+01:00,54.0,16.4,75.7,1203.0,21.0,13.8,14.8
2024-10-14T19:30:00+01:00,53.2,16.4,76.4,1213.8,22.0,12.2,13.2
2024-10-14T19:35:00+01:00,55.0,16.3,74.3,1229.4,21.6,14.2,15.2
2024-10-14T19:40:00+01:00,56.4,16.2,72.7,1238.2,20.6,12.2,13.2
2024-10-14T19:45:00+01:00,56.4,16.2,72.2,1250.8,20.0,15.0,16.2
2024-10-14T19:50:00+01:00,54.0,16.4,75.0,1263.6,20.8,14.2,15.2
2024-10-14T19:55:00+01:00,53.0,16.5,76.4,1274.0,22.3,13.0,14.0
